Date,VIX,MOVE,US10Y,DXY,USDKRW,Russell2000,Copper,High_Yield,Fear_Greed,CAPE_PE,Buffett_US,Buffett_KR,Margin_Debt_US,Margin_Debt_KR,KR_Export,BDI_Index
2026-06-04,15.79,73.58,4.45,99.26,1532.18,2914.09,6.53,N/A,54.0,42.53,238.8,277.3,1.304,37.09,877.5 (53.2%),3124.0
2026-06-05,21.51,75.2,4.54,100.07,1558.84,2833.5,6.28,N/A,42.0,41.57,237.0,N/A,1.304,37.11,N/A,N/A
2026-06-06,21.51,75.2,4.54,100.07,1558.84,2833.5,6.26,N/A,42.0,41.57,238.2,N/A,1.304,37.11,N/A,N/A
2026-06-07,21.51,75.2,4.54,100.1,1559.43,2833.5,6.27,N/A,42.0,41.57,231.7,262.3,1.304,37.12,877.5 (53.2%),2981.0
2026-06-08,18.92,76.98,4.55,100.04,1554.48,2855.42,6.33,N/A,40.0,41.67,231.7,217.1,1.304,37.23,877.5 (53.2%),2916.0
2026-06-10,19.87,77.03,4.53,100.02,1520.18,2867.02,6.33,N/A,33.0,41.54,232.5,N/A,1.304,37.18,877.5 (53.2%),2818.0
2026-06-11,22.22,73.95,4.54,100.06,1523.66,2835.46,6.19,N/A,27.0,40.87,232.5,N/A,1.304,37.33,877.5 (53.2%),2771.0
2026-06-12,19.44,69.45,4.46,99.77,1520.18,2921.03,6.39,N/A,30.0,41.2,228.3,N/A,1.304,36.19,877.5 (53.2%),2729.0
2026-06-13,17.68,69.36,4.49,99.75,1517.89,2943.99,6.43,N/A,34.0,41.43,228.3,236.2,1.304,36.19,877.5 (53.2%),2729.0
2026-06-15,17.68,69.36,4.49,99.49,1509.88,2943.99,6.53,N/A,34.0,41.43,232.6,N/A,1.304,36.08,877.5 (53.2%),2729.0
2026-06-16,16.2,69.38,4.47,99.66,1516.38,2965.09,6.47,N/A,41.0,42.18,233.8,251.7,1.304,36.3,877.5 (53.2%),2729.0
2026-06-17,16.41,67.28,4.43,99.55,1509.88,2939.19,6.48,N/A,39.0,41.92,233.8,N/A,1.304,36.49,877.5 (53.2%),2670.0
2026-06-18,18.44,70.66,4.46,100.35,1523.45,2917.98,6.39,N/A,33.0,41.38,233.8,N/A,1.304,36.8,877.5 (53.2%),2653.0
2026-06-19,16.78,69.36,4.45,100.85,1529.89,2979.77,6.34,N/A,37.0,41.71,233.8,N/A,1.304,37.2,877.5 (53.2%),2722.0
2026-06-20,16.4,69.36,4.45,100.85,1529.89,2979.77,6.34,N/A,37.0,41.71,233.8,259.6,1.304,37.2,877.5 (53.2%),2722.0
2026-06-22,17.28,70.01,4.51,101.01,1536.1,3004.4,6.35,N/A,35.0,41.58,233.8,N/A,1.304,37.87,877.5 (53.2%),2684.0
2026-06-23,19.49,68.78,4.49,101.39,1530.57,2975.48,6.12,N/A,28.0,40.96,235.9,235.6,1.304,37.92,877.5 (53.2%),2667.0
2026-06-24,18.63,69.06,4.4,101.6,1539.63,2986.63,5.98,N/A,26.0,40.94,235.9,243.1,1.304,37.49,877.5 (53.2%),2634.0
2026-06-25,19.05,65.39,4.39,101.31,1540.48,3010.65,6.13,2.71,26.0,40.94,235.9,N/A,1.304,37.49,877.5 (53.2%),2591.0
2026-06-26,18.41,66.79,4.37,101.37,1535.0,3010.08,6.2,2.78,25.0,40.7,235.6,240.8,1.416,38.02,877.5 (53.2%),2524.0
2026-06-27,18.89,66.79,4.37,101.43,1535.0,3007.86,6.14,2.78,25.0,40.7,235.6,240.8,1.416,38.02,877.5 (53.2%),2524.0
2026-06-28,18.41,66.79,4.37,101.38,1535.11,3010.08,6.2,2.78,25.0,40.7,235.6,N/A,1.416,37.45,877.5 (53.2%),2524.0
2026-06-29,17.65,68.14,4.37,101.11,1535.24,3010.42,6.18,2.83,27.0,41.39,231.8,241.4,1.416,37.18,877.5 (53.2%),2490.0
2026-06-30,16.45,71.96,4.42,101.22,1541.73,3024.37,6.25,2.8,31.0,41.72,231.8,243.4,1.416,37.21,877.5 (53.2%),2501.0
2026-07-02,16.15,65.4,4.48,100.91,1551.81,2996.11,6.18,2.74,31.0,41.6,231.8,220.3,1.416,36.74,1022.5 (70.9%),2650.0
2026-07-03,15.81,66.79,4.37,100.86,1530.15,2996.11,6.22,2.75,32.0,41.6,231.8,232.3,1.416,36.74,1022.5 (70.9%),2717.0
2026-07-04,16.15,65.4,4.48,100.86,1530.15,2996.11,6.22,2.75,32.0,41.6,231.8,232.3,1.416,36.74,1022.5 (70.9%),2717.0
2026-07-05,16.15,65.4,4.49,100.87,1529.11,2996.11,6.24,2.75,32.0,41.6,231.8,232.3,1.416,37.11,1022.5 (70.9%),2717.0
2026-07-06,15.57,65.76,4.48,100.84,1528.59,3009.54,6.25,2.74,44.0,41.97,235.6,N/A,1.416,37.18,1022.5 (70.9%),2797.0
